timestamp,filter,x,y,theta,P_xx,P_yy,P_tt
1299.700000,EKF,0.000000,0.000000,0.011202,1.550110,1.550110,0.027017
1299.710000,KF,-0.000482,-0.002733,0.002605,0.250613,0.250613,0.000000
1299.710000,EKF,0.000000,0.000000,-0.001798,1.560112,1.560112,0.027017
1299.720000,KF,-0.000507,-0.002711,0.002613,0.255456,0.255456,0.000000
1299.720000,EKF,0.000000,0.000000,0.002469,1.570114,1.570114,0.027017
1299.730000,KF,-0.000516,-0.002682,0.002570,0.260375,0.260375,0.000000
1299.730000,EKF,0.000000,0.000000,0.002388,1.580116,1.580116,0.027017
1299.730000,Odom,-0.001422,-0.000718,0.002498,0.000010,0.000010,1000000000000.000000
1299.740000,KF,-0.000522,-0.002649,0.002498,0.265372,0.265372,0.000000
1299.740000,EKF,0.000000,0.000000,0.005152,1.590118,1.590118,0.027017
1299.750000,KF,-0.000529,-0.002615,0.002414,0.270448,0.270448,0.000000
1299.750000,EKF,0.000000,0.000000,-0.002120,1.600120,1.600120,0.027017
1299.760000,KF,-0.000536,-0.002580,0.002325,0.275603,0.275603,0.000000
1299.760000,EKF,0.000000,0.000000,0.005050,1.610122,1.610122,0.027017
1299.760000,Odom,-0.001370,-0.000526,0.002238,0.000010,0.000010,1000000000000.000000
1299.770000,KF,-0.000544,-0.002546,0.002238,0.280838,0.280838,0.000000
1299.770000,EKF,0.000000,0.000000,0.007238,1.620124,1.620124,0.027017
1299.780000,KF,-0.000553,-0.002517,0.002155,0.286155,0.286155,0.000000
1299.780000,EKF,0.000000,0.000000,-0.001953,1.630126,1.630126,0.027017
1299.790000,KF,-0.000564,-0.002489,0.002080,0.291555,0.291555,0.000000
1299.790000,EKF,0.000000,0.000000,-0.001535,1.640128,1.640128,0.027017
1299.790000,Odom,-0.001323,-0.000365,0.002014,0.000010,0.000010,1000000000000.000000
1299.800000,KF,-0.000576,-0.002466,0.002014,0.297038,0.297038,0.000000
1299.800000,EKF,0.000000,0.000000,0.004461,1.650130,1.650130,0.027017
1299.800000,PF,-0.382836,0.483598,-2.011174,0.000000,0.000000,0.000000
1299.810000,EKF,0.000000,0.000000,0.002562,1.660132,1.660132,0.027017
1299.810000,KF,-0.000588,-0.002445,0.001960,0.302605,0.302605,0.000000
1299.820000,KF,-0.000599,-0.002434,0.001918,0.308258,0.308258,0.000000
1299.820000,EKF,0.000000,0.000000,0.000100,1.670134,1.670134,0.027017
1299.830000,KF,-0.000615,-0.002430,0.001892,0.313998,0.313998,0.000000
1299.830000,EKF,0.000000,0.000000,-0.005100,1.680136,1.680136,0.027017
1299.830000,Odom,-0.001269,-0.000237,0.001885,0.000010,0.000010,1000000000000.000000
1299.840000,KF,-0.000633,-0.002433,0.001885,0.319825,0.319825,0.000000
1299.840000,EKF,0.000000,0.000000,-0.003946,1.690138,1.690138,0.027017
1299.850000,EKF,0.000000,0.000000,-0.008307,1.700140,1.700140,0.027017
1299.850000,KF,-0.000653,-0.002446,0.001898,0.325740,0.325740,0.000000
1299.860000,EKF,0.000000,0.000000,-0.001492,1.710142,1.710142,0.027017
1299.860000,KF,-0.000672,-0.002466,0.001924,0.331745,0.331745,0.000000
1299.860000,Odom,-0.001227,-0.000165,0.001954,0.000010,0.000010,1000000000000.000000
1299.870000,EKF,0.000000,0.000000,-0.000985,1.720144,1.720144,0.027017
1299.870000,KF,-0.000688,-0.002483,0.001954,0.337841,0.337841,0.000000
1299.880000,KF,-0.000707,-0.002494,0.001992,0.344028,0.344028,0.000000
1299.880000,EKF,0.000000,0.000000,0.000365,1.730146,1.730146,0.027017
1299.890000,KF,-0.000729,-0.002521,0.002025,0.350307,0.350307,0.000000
1299.890000,EKF,0.000000,0.000000,0.000477,1.740148,1.740148,0.027017
1299.890000,Odom,-0.001320,-0.000137,0.002048,0.000010,0.000010,1000000000000.000000
1299.900000,KF,-0.000752,-0.002554,0.002048,0.356680,0.356680,0.000000
1299.900000,EKF,0.000000,0.000000,0.001020,1.750150,1.750150,0.027017
1299.910000,KF,-0.000903,-0.002597,0.001956,0.363148,0.363148,0.000000
1299.910000,EKF,0.000000,0.000000,0.007374,1.760152,1.760152,0.027017
1299.920000,EKF,0.000000,0.000000,0.005016,1.770154,1.770154,0.027017
1299.920000,KF,-0.000979,-0.002689,0.001916,0.369711,0.369711,0.000000
1299.930000,EKF,0.000000,0.000000,0.011349,1.780156,1.780156,0.027017
1299.930000,KF,-0.001025,-0.002804,0.001914,0.376370,0.376370,0.000000
1299.930000,Odom,-0.001356,-0.000437,0.001939,0.000010,0.000010,1000000000000.000000
1299.940000,EKF,0.000000,0.000000,0.014779,1.790158,1.790158,0.027017
1299.940000,KF,-0.001053,-0.002934,0.001939,0.383127,0.383127,0.000000
1299.950000,KF,-0.001070,-0.003071,0.001988,0.389983,0.389983,0.000000
1299.950000,EKF,0.000000,0.000000,0.013794,1.800160,1.800160,0.027017
1299.960000,KF,-0.001082,-0.003217,0.002048,0.396938,0.396938,0.000000
1299.960000,EKF,0.000000,0.000000,0.011382,1.810162,1.810162,0.027017
1299.960000,Odom,-0.001283,-0.000747,0.002118,0.000010,0.000010,1000000000000.000000
1299.970000,KF,-0.001089,-0.003365,0.002118,0.403993,0.403993,0.000000
1299.970000,EKF,0.000000,0.000000,0.009250,1.820164,1.820164,0.027017
1299.980000,KF,-0.001094,-0.003509,0.002196,0.411150,0.411150,0.000000
1299.980000,EKF,0.000000,0.000000,0.008088,1.830166,1.830166,0.027017
1299.990000,KF,-0.001097,-0.003644,0.002280,0.418410,0.418410,0.000000
1299.990000,EKF,0.000000,0.000000,-0.003428,1.840168,1.840168,0.027017
1299.990000,Odom,-0.001198,-0.000998,0.002367,0.000010,0.000010,1000000000000.000000
1300.000000,KF,-0.001100,-0.003766,0.002367,0.425773,0.425773,0.000000
1300.000000,EKF,0.000000,0.000000,0.003554,1.850170,1.850170,0.027017
1300.000000,PF,-0.261442,0.383742,-1.787588,0.000000,0.000000,0.000000
1300.010000,KF,-0.001101,-0.003874,0.002454,0.433240,0.433240,0.000000
1300.010000,EKF,0.000000,0.000000,0.002100,1.860172,1.860172,0.027017
1300.020000,KF,-0.001100,-0.003970,0.002540,0.440813,0.440813,0.000000
1300.020000,EKF,0.000000,0.000000,-0.001725,1.870174,1.870174,0.027017
1300.030000,KF,-0.001099,-0.004056,0.002623,0.448493,0.448493,0.000000
1300.030000,EKF,0.000000,0.000000,-0.000258,1.880176,1.880176,0.027017
1300.030000,Odom,-0.001092,-0.001178,0.002703,0.000010,0.000010,1000000000000.000000
1300.040000,KF,-0.001097,-0.004131,0.002703,0.456280,0.456280,0.000000
1300.040000,EKF,0.000000,0.000000,0.011435,1.890178,1.890178,0.027017
1300.050000,KF,-0.001097,-0.004192,0.002778,0.464175,0.464175,0.000000
1300.050000,EKF,0.000000,0.000000,0.008495,1.900180,1.900180,0.027017
1300.060000,KF,-0.001095,-0.004244,0.002842,0.472180,0.472180,0.000000
1300.060000,EKF,0.000000,0.000000,0.011209,1.910182,1.910182,0.027017
1300.060000,Odom,-0.001022,-0.001197,0.002893,0.000010,0.000010,1000000000000.000000
1300.070000,EKF,0.000000,0.000000,-0.006435,1.920184,1.920184,0.027017
1300.070000,KF,-0.001093,-0.004285,0.002893,0.480296,0.480296,0.000000
1300.080000,EKF,0.000000,0.000000,0.003392,1.930186,1.930186,0.027017
1300.080000,KF,-0.001093,-0.004310,0.002929,0.488523,0.488523,0.000000
1300.090000,KF,-0.001093,-0.004321,0.002955,0.496862,0.496862,0.000000
1300.090000,EKF,0.000000,0.000000,0.001865,1.940188,1.940188,0.027017
1300.090000,Odom,-0.000959,-0.001098,0.002972,0.000010,0.000010,1000000000000.000000
1300.100000,KF,-0.001096,-0.004320,0.002972,0.505315,0.505315,0.000000
1300.100000,EKF,0.000000,0.000000,-0.000495,1.950190,1.950190,0.027017
1300.110000,EKF,0.000000,0.000000,-0.001773,1.960192,1.960192,0.027017
1300.110000,KF,-0.001096,-0.004311,0.002982,0.513883,0.513883,0.000000
1300.120000,EKF,0.000000,0.000000,-0.003131,1.970194,1.970194,0.027017
1300.120000,KF,-0.001097,-0.004299,0.003465,0.522566,0.522566,0.000000
1300.130000,KF,-0.001198,-0.004302,0.003738,0.531365,0.531365,0.000000
1300.130000,EKF,0.000000,0.000000,0.007584,1.980196,1.980196,0.027017
1300.130000,Odom,-0.001128,-0.000937,0.003866,0.000010,0.000010,1000000000000.000000
1300.140000,EKF,0.000000,0.000000,0.011618,1.990198,1.990198,0.027017
1300.140000,KF,-0.001253,-0.004302,0.003866,0.540282,0.540282,0.000000
1300.150000,EKF,0.000000,0.000000,0.012232,2.000200,2.000200,0.027017
1300.150000,KF,-0.001286,-0.004298,0.003919,0.549318,0.549318,0.000000
1300.160000,KF,-0.001304,-0.004292,0.004099,0.558473,0.558473,0.000000
1300.160000,EKF,0.000000,0.000000,0.003459,2.010202,2.010202,0.027017
1300.160000,Odom,-0.001117,-0.000830,0.004172,0.000010,0.000010,1000000000000.000000
1300.170000,EKF,0.000000,0.000000,0.006739,2.020204,2.020204,0.027017
1300.170000,KF,-0.001323,-0.004293,0.004172,0.567748,0.567748,0.000000
1300.180000,KF,-0.001329,-0.004290,0.004190,0.577145,0.577145,0.000000
1300.180000,EKF,0.000000,0.000000,0.009047,2.030206,2.030206,0.027017
1300.190000,KF,-0.001327,-0.004286,0.004175,0.586665,0.586665,0.000000
1300.190000,EKF,0.000000,0.000000,0.006979,2.040208,2.040208,0.027017
1300.190000,Odom,-0.001068,-0.000701,0.004138,0.000010,0.000010,1000000000000.000000
1300.200000,KF,-0.001325,-0.004281,0.004138,0.596308,0.596308,0.000000
1300.200000,EKF,0.000000,0.000000,0.001184,2.050210,2.050210,0.027017
1300.200000,PF,-0.182290,0.205597,-2.101020,0.000000,0.000000,0.000000
1300.210000,KF,-0.001322,-0.004280,0.004088,0.606075,0.606075,0.000000
1300.210000,EKF,0.000000,0.000000,-0.003412,2.060212,2.060212,0.027017
1300.220000,KF,-0.001321,-0.004275,0.004030,0.615968,0.615968,0.000000
1300.220000,EKF,0.000000,0.000000,-0.005249,2.070214,2.070214,0.027017
1300.230000,EKF,0.000000,0.000000,0.002156,2.080216,2.080216,0.027017
1300.230000,KF,-0.001323,-0.004267,0.003969,0.625988,0.625988,0.000000
1300.230000,Odom,-0.001000,-0.000501,0.003909,0.000010,0.000010,1000000000000.000000
1300.240000,KF,-0.001326,-0.004260,0.003909,0.636135,0.636135,0.000000
1300.240000,EKF,0.000000,0.000000,0.000514,2.090218,2.090218,0.027017
1300.250000,KF,-0.001324,-0.004253,0.003850,0.646410,0.646410,0.000000
1300.250000,EKF,0.000000,0.000000,0.007875,2.100220,2.100220,0.027017
1300.260000,KF,-0.001321,-0.004249,0.003794,0.656815,0.656815,0.000000
1300.260000,EKF,0.000000,0.000000,0.004800,2.110222,2.110222,0.027017
1300.260000,Odom,-0.000956,-0.000354,0.003742,0.000010,0.000010,1000000000000.000000
1300.270000,EKF,0.000000,0.000000,0.002653,2.120224,2.120224,0.027017
1300.270000,KF,-0.001321,-0.004243,0.003742,0.667351,0.667351,0.000000
1300.280000,KF,-0.001322,-0.004241,0.003691,0.678018,0.678018,0.000000
1300.280000,EKF,0.000000,0.000000,0.000468,2.130226,2.130226,0.027017
1300.290000,EKF,0.000000,0.000000,-0.000307,2.140228,2.140228,0.027017
1300.290000,KF,-0.001322,-0.004234,0.003512,0.688817,0.688817,0.000000
1300.290000,Odom,-0.001038,-0.000283,0.004162,0.000010,0.000010,1000000000000.000000
1300.300000,KF,-0.001382,-0.004147,0.004162,0.699750,0.699750,0.000000
1300.300000,EKF,0.000000,0.000000,0.007867,2.150230,2.150230,0.027017
1300.310000,KF,-0.001448,-0.004300,0.004246,0.710818,0.710818,0.000000
1300.310000,EKF,0.000000,0.000000,0.009911,2.160232,2.160232,0.027017
1300.320000,EKF,0.000000,0.000000,0.012198,2.170234,2.170234,0.027017
1300.320000,KF,-0.001467,-0.004402,0.004292,0.722021,0.722021,0.000000
1300.330000,KF,-0.001477,-0.004520,0.004356,0.733360,0.733360,0.000000
